userA	userB	score
mathieublanchard	pierrickgaudry	3
marcmezzarobba	davidbaelde	3
adrienchopin	anthonymasure	4
benjaminprevost	guillaumequeruel	3
marielaurebretin	abharmach	5
gesbert	fabienlabarthe	4
chauvinbrigitte	nicolasbraudsantoni	4
fouillet	frederiqueflamerie	4
oliviercleynen	adrienchopin	4
noelthiboud	fredericchapoton	4
leinardifrancesca	eliemichel	3
hugol	agnesletouzey	3
stephaniegroudiev	stephanepouyllau	5
sylvainpogodalla	durandaline	3
raclet	francoislermigeaux	3
marieferrazzini	thomaslamarche	5
charara	alexandrenolin	3
adrienkrahenbuhl	maximeaudinot	3
dominiquelechaudel	davidbenoist	4
gregallaire	christofschoch	4
aurelienberra	abharmach	3
francistrautmann	antoineamarilli	6
christophepavlides	arnalcedric	4
jeanchristophebach	francisandre	3
jeremienuel	alainberetzpresidentdeluniversitedestrasbourg	4
carolinelandry	christinekosmopoulos	5
ackervalerie	ouriachioussama	3
emmanuellecorne	anthoinebourgeois	3
legendre	frederichelein	4
thierychanier	williamtriggs	4
vincentdanjean	brunoringeval	3
teodorknapik	christofschoch	3
mathieublanchard	etiennepariat	6
jeanmallet	ackervalerie	4
clairesaulou	williamtriggs	4
jacquesmillet	thierryfournier	5
audreysteinberger	jozefinasadowska	3
mauleskinemouraby	marieannepaveau	3
hugogimbert	davidbenoist	5
yadlajoie	christineollendorff	3
jeremieroche	lerouergue1	8
lionelrieg	vivienripoll	4
fredericdanielluclehobey	patricebellot1	3
delphinedebarre	christianlavault1	3
bernadettebergeret	samsond	4
chantalviala	henrigaly	4
davidmonniaux	ericdaspet	6
francoisrevol	jeanfrancoislutz	4
alainmarois	alexiskauffmann	3
leboecla	gesbert	6
favreau	olivierbuffet	3
fredericherbreteau	nicolasdandrimont	4
isabellegouat	stephaniedordcrousle	4
christineleininger	gregoire	3
cedrictemple	courtoischantal	3
jeanmarielebechec	2	5
benjaminguichard	cecileadamolle	4
jeansebastienkrollrabotin	javellejeanpierre	3
remiwatrigant	danielpouyllau	3
julianbh	aicardistephane	4
juliengrenet1	nicolasdandrimont	4
audeleblond	laurentromary	3
leboecla	valeriehurtevent1	6
francoisetruffert	gesbert	6
francoisetruffert	paulgirard	3
emiliebrunet	chauvinbrigitte	3
pierrefenouil	emilegersch	31
marieannepaveau	emmanuelthome	4
hankahensens	chevallierchantepie	4
clairelemercier	souzani	4
christophebrocquet	adrienchopin	3
adelineregeuniversitedestrasbourg	brunoringeval	3
louisgesbert	sbauin	9
legendre	deputeeisabelleattard	4
celinevautrin	emmanuellecorne	5
alexanderdoria	christineollendorff	5
gesbert	adrienfabre	3
lionelrieg	christinekosmopoulos	3
caroleb	ralphmatthes	4
valeriehurtevent1	beorchia	4
frederiquelangue	anneclairelepicard	4
hankahensens	alexandredouvry	3
benoitpier1	philippegambette	5
charara	leboecla	4
