userA	userB	score
ratsimandravasuzanne	dominiqueroux	1
lerouergue1	marielaurebretin	1
nehemiestrupler	chauvinbrigitte	1
simona	maxenceguesdon	4
leboecla	paulgirard	3
nicolaslemoine	odilebenassy2	1
ackervalerie	pascalweil	1
alainberetzpresidentdeluniversitedestrasbourg	arthurguillon	2
gibierfrancois	frederiqueflamerie	2
heloisegazeau	manuelclergue	1
griddock	jeanbaptistemouret	3
louisjachiet	marieevegeiger	4
gchartron	pascalfouche	5
chauvinbrigitte	syndicatnationaldeledition	1
christofschoch	fabienlabarthe	7
marieannepaveau	benjaminbourdon	3
sylvainpogodalla	remiwatrigant	2
antonindelpeuch	pn	2
carolinelandry	jeanchristophepeyssard	2
gabrielscherer	nolwennmaudet	3
marieannepaveau	anneclairelepicard	3
guillaumequeruel	sbauin	6
danielpouyllau	jouannigot	1
sophiepochic	emilegersch	1
juliejanody	caroleb	2
gabrielllang	aicardistephane	3
christineollendorff	maicf	2
vorosandre	damienrobert	3
virgileprevosto	kevinperrot	3
pascalelalot	ol	3
alainberetzpresidentdeluniversitedestrasbourg	sevankazandjian	3
stephanemagnier	juriconnexion	2
arramyleroux	frederiquelangue	6
doctorant	jeannevarasco	2
kevinperrot	abharmach	3
aubry1	jonathancrequer	1
nicolasbarts	caroleb	2
gesbert	valentinplichon	3
pablorauzy	heloisegazeau	2
lionelrieg	chantalviala	3
virgileprevosto	godefroybeauvallet	1
ouriachioussama	hadrienvroylandt	3
quentingrimaud	stephanepouyllau	1
lestage1	maximeaudinot	2
griddock	anthonymasure	2
christineleininger	nicolasbraudsantoni	3
vivienripoll	marieevegeiger	5
arnaudferraris	guillaumequeruel	2
glize	hankahensens	4
heloisegazeau	moniqueteillaud	1
jeanlucdeochandiano	hcyinguyenvan	3
olivierjacquot	odilebenassy2	3
bernardloic	nicolaslemoine	1
jeannevarasco	patrickfenouil	21
maisonobeluc	benoitpier1	7
samuelauthueil	nathalieduchange	1
adelineregeuniversitedestrasbourg	christophepavlides	4
hadrienvroylandt	nicolasquenouille	1
roux3	catherineperrin	3
inradistodilehologne	alexandredouvry	2
alexiskauffmann	agnesraymonddenise	1
sergenoiraud	catherinelandry	1
christinedemazieres	arthurguillon	1
jeremieroche	agnesletouzey	1
olivierpantale	cecileadamolle	3
antoninchambolle	nicolasbraudsantoni	1
godefroybeauvallet	stephanebortzmeyer	1
mathildedacos	violainev	2
severinlemaignan	odilehennaut	2
salvetatfrancoise	delphinedebarre	1
emiliebrunet	emmanuellecorne	7
laurevieu	patricebellot1	3
jeanchristophepeyssard	valleemaxime	2
pierremounier	rmathis	2
nehemiestrupler	martinecoppet	1
jeankempf	sorouletpillon	3
fredericdanielluclehobey	jeanfrancoislutz	5
inradistodilehologne	philippedeso	5
fredericclavert	julienbect	5
emmanuelthome	samuelhornus	4
bossuet	vincentbattesti	2
bernadettebergeret	cecilearmana	2
hubertguillaud	pierremounier	2
pablorauzy	mathieublanchard	4
coret	lionelrieg	2
cypriengay	maxb	3
pierremounier	abharmach	2
ramdanikarim	cavetdominique	4
chauvinbrigitte	aicardistephane	2
emmanuellehelly	pbernard	2
merlet	francoislermigeaux	1
jeanlouisbougeret	benoitrkloeckner	1
gregallaire	jeanbaptistemouret	4
jeankempf	mathildedacos	5
celialentretien	sarraderafaele	3
jeremiebettinelli	claudeniatel	5
cypriengay	adrienkrahenbuhl	3
cedrictemple	suzannemallet	4
julianbh	fredericherbreteau	3
heraultfrederic	gibierfrancois	3
jeanlucdeochandiano	laurentlopez	2
darquy1	philippedeso	3
sylvaincrovisier1	olivierzendra2	4
emmanuellecorne	violainev	3
emmanuelhadoux	horatiucirstea	2
sylvaincrovisier1	remiwatrigant	5
rmathis	emmanuellecorne	7
jeansebastienkrollrabotin	pbernard	1
vincentbattesti	juliengilet1	1
juliendupredebaubigny	godefroybeauvallet	1
fredericclavert	mihaelasighireanu	5
gchartron	duflotjeanluc	1
mariehelenedacos	juliengrenet1	6
fouillet	benjaminbourdon	2
pierrickgaudry	veroniquecohoner	2
leclercarmelle	nathalieduchange	3
jeanchristophepeyssard	nikolaykovachev	5
huguesvanbesien	aymerich	1
mathildedacos	eliemichel	4
jeremienuel	remiwatrigant	2
jeremiebettinelli	catherinelandry	6
cypriengay	celinesmith	3
nicolasdandrimont	souzani	2
suzannemallet	jeanmarielebechec	3
julianbh	ericdaspet	4
pierrickgaudry	courtoischantal	2
frederiqueflamerie	yannbonnet	2
guillaumequeruel	leoducas	2
leoducas	arthurguillon	2
arramyleroux	annickvalibouze	2
sebastienbenzekry	sergenoiraud	1
geraldineniateldacos	claudeniatel	7
odilehennaut	dansperber	2
brunodurand	lacourclaire	2
chauvinbrigitte	yadlajoie	3
cypriengay	mathurindorel	1
stephaniegroudiev	aurelienberra	7
ericf	heloisegazeau	1
jeanlouisbougeret	souzani	2
nathalieduchange	alexandredouvry	2
guillaumecabanac	juliendupredebaubigny	5
alainberetzpresidentdeluniversitedestrasbourg	stephaniedordcrousle	3
fredericclavert	prescillialagarrigue	1
severinlemaignan	patricetorguet	3
fredericclavert	alabau	4
consortiumcouperin	ratsimandravasuzanne	2
pierrickgaudry	marieevegeiger	3
hubertguillaud	catherineperrin	2
christophebrocquet	oliviercleynen	2
laurablasutto	gaelbordet	1
